Order_ID,Date,Region,Product,Category,Salesperson,Customer_ID,Customer_Type,Marketing_Channel,Supplier,Units_Sold,Discount_Percent,Inventory_Level,Delivery_Time_Days,Customer_Rating,Unit_Price,Unit_Cost,Gross_Sales,Discount_Amount,Net_Sales,Total_Cost,Profit,Profit_Margin
ORD-1192,2025-01-23,Chittagong,Office Chair,Furniture,Tania,CUST-563,Retail,Dealer,Supplier A,36,0.19,35,4,3.2,10745,7190,386820,73496,313324,258840,54484,0.174
ORD-1308,2025-01-23,Dhaka,Office Chair,Furniture,Rahim,CUST-449,Corporate,Dealer,Supplier C,20,0.05,43,13,3.7,19186,14294,383720,19186,364534,285880,78654,0.216
ORD-1158,2025-01-23,Sylhet,Mobile,Electronics,Rahim,CUST-217,Corporate,Dealer,Supplier D,22,0.08,85,4,4.6,21862,13673,480964,38477,442487,300806,141681,0.32
ORD-1312,2025-01-23,Khulna,Mobile,Electronics,Nila,CUST-191,Retail,Online,Supplier C,39,0.05,210,7,2.9,32485,19587,1266915,63346,1203569,763893,439676,0.365
ORD-1196,2025-01-24,Chittagong,Mobile,Electronics,Nila,CUST-588,Wholesale,Email,Supplier C,28,0.19,102,6,3.7,31565,23848,883820,167926,715894,667744,48150,0.067
ORD-1074,2025-01-24,Rajshahi,Monitor,Electronics,Sadia,CUST-927,Wholesale,Facebook,Supplier D,4,0.1,188,1,3.6,31193,21594,124772,12477,112295,86376,25919,0.231
ORD-1448,2025-01-24,Rajshahi,Laptop,Electronics,Tania,CUST-970,Retail,Direct Sales,Supplier C,29,0.05,153,6,4.4,122481,69220,3551949,177597,3374352,2007380,1366972,0.405
ORD-1349,2025-01-25,Khulna,Mobile,Electronics,Sadia,CUST-153,Retail,Online,Supplier A,30,0.05,32,6,3.8,18399,11867,551970,27598,524372,356010,168362,0.321
ORD-1057,2025-01-25,Chittagong,Laptop,Electronics,Tania,CUST-456,Wholesale,Email,Supplier C,12,0.18,125,1,4.9,131580,91673,1578960,284213,1294747,1100076,194671,0.15
ORD-1326,2025-01-27,Khulna,Printer,Office Equipment,Sadia,CUST-617,Corporate,Email,Supplier B,22,0.02,114,1,3.9,37091,21559,816002,16320,799682,474298,325384,0.407
ORD-1106,2025-01-27,Rajshahi,Monitor,Electronics,Tania,CUST-509,Wholesale,Email,Supplier B,38,0.17,254,1,3.1,27075,21453,1028850,174904,853946,815214,38732,0.045
ORD-1435,2025-01-28,Chittagong,Tablet,Electronics,Tania,CUST-810,Corporate,Email,Supplier A,27,0.17,213,2,4.1,34064,23415,919728,156354,763374,632205,131169,0.172
ORD-1264,2025-01-28,Dhaka,Monitor,Electronics,Sadia,CUST-629,Corporate,Email,Supplier C,36,0.08,140,14,3.4,43428,28586,1563408,125073,1438335,1029096,409239,0.285
ORD-1426,2025-01-29,Chittagong,Laptop,Electronics,Nila,CUST-682,Retail,Dealer,Supplier A,22,0.13,276,10,3.6,144042,99253,3168924,411960,2756964,2183566,573398,0.208
ORD-1406,2025-01-30,Rajshahi,Desk,Furniture,Karim,CUST-992,Corporate,Online,Supplier C,9,0.06,122,3,4.2,28992,18083,260928,15656,245272,162747,82525,0.336
ORD-1306,2025-01-30,Chittagong,Tablet,Electronics,Karim,CUST-242,Corporate,Direct Sales,Supplier C,39,0.09,264,10,2.6,37895,27344,1477905,133011,1344894,1066416,278478,0.207
ORD-1056,2025-01-30,Dhaka,Desk,Furniture,Sadia,CUST-192,Retail,Direct Sales,Supplier B,5,0.06,255,9,3.4,13164,9150,65820,3949,61871,45750,16121,0.261
ORD-1480,2025-01-31,Dhaka,Monitor,Electronics,Nila,CUST-696,Retail,Direct Sales,Supplier D,14,0.08,114,3,4.6,30090,22635,421260,33701,387559,316890,70669,0.182
ORD-1072,2025-01-31,Rajshahi,Printer,Office Equipment,Nila,CUST-107,Retail,Facebook,Supplier D,24,0.01,153,8,2.9,32149,20540,771576,7716,763860,492960,270900,0.355
ORD-1163,2025-02-02,Khulna,Office Chair,Furniture,Sadia,CUST-733,Corporate,Facebook,Supplier D,14,0.12,253,5,3.3,17382,13073,243348,29202,214146,183022,31124,0.145
ORD-1005,2025-02-02,Khulna,Office Chair,Furniture,Tania,CUST-936,Retail,Dealer,Supplier D,31,0.14,20,3,3.6,5754,4331,178374,24972,153402,134261,19141,0.125
ORD-1062,2025-02-02,Chittagong,Printer,Office Equipment,Sadia,CUST-739,Retail,Direct Sales,Supplier C,5,0.11,123,7,4.5,15890,8817,79450,8740,70710,44085,26625,0.377
ORD-1472,2025-02-02,Rajshahi,Desk,Furniture,Nila,CUST-356,Corporate,Direct Sales,Supplier A,20,0.18,82,6,4.9,11208,7842,224160,40349,183811,156840,26971,0.147
ORD-1377,2025-02-02,Rajshahi,Desk,Furniture,Sadia,CUST-476,Retail,Email,Supplier C,6,0.13,157,6,2.6,19328,14055,115968,15076,100892,84330,16562,0.164
ORD-1245,2025-02-03,Rajshahi,Printer,Office Equipment,Rahim,CUST-350,Corporate,Direct Sales,Supplier C,11,0.16,264,10,4.3,30327,23490,333597,53376,280221,258390,21831,0.078
ORD-1099,2025-02-03,Chittagong,Laptop,Electronics,Nila,CUST-638,Corporate,Online,Supplier C,35,0.01,290,6,3.6,81480,61256,2851800,28518,2823282,2143960,679322,0.241
ORD-1190,2025-02-04,Khulna,Tablet,Electronics,Karim,CUST-849,Corporate,Online,Supplier D,9,0.08,124,6,4.9,22512,12638,202608,16209,186399,113742,72657,0.39
ORD-1404,2025-02-06,Chittagong,Desk,Furniture,Sadia,CUST-588,Corporate,Facebook,Supplier C,8,0.07,277,12,2.8,10117,6813,80936,5666,75270,54504,20766,0.276
ORD-1058,2025-02-08,Rajshahi,Monitor,Electronics,Tania,CUST-992,Wholesale,Facebook,Supplier A,33,0.07,139,7,4.2,42419,24321,1399827,97988,1301839,802593,499246,0.383
ORD-1217,2025-02-08,Rajshahi,Mobile,Electronics,Nila,CUST-251,Retail,Direct Sales,Supplier C,33,0.03,290,8,3.1,23815,17632,785895,23577,762318,581856,180462,0.237
ORD-1367,2025-02-09,Khulna,Desk,Furniture,Nila,CUST-783,Wholesale,Email,Supplier C,31,0.1,232,9,2.8,17719,10331,549289,54929,494360,320261,174099,0.352
ORD-1461,2025-02-09,Sylhet,Printer,Office Equipment,Sadia,CUST-411,Retail,Facebook,Supplier C,11,0.18,79,5,3.8,36877,29402,405647,73016,332631,323422,9209,0.028
ORD-1492,2025-02-09,Chittagong,Office Chair,Furniture,Karim,CUST-326,Retail,Dealer,Supplier C,29,0.15,142,9,3.3,19094,11341,553726,83059,470667,328889,141778,0.301
ORD-1288,2025-02-09,Sylhet,Monitor,Electronics,Sadia,CUST-808,Retail,Direct Sales,Supplier B,12,0.08,217,12,2.9,35729,25836,428748,34300,394448,310032,84416,0.214
ORD-1313,2025-02-09,Khulna,Office Chair,Furniture,Sadia,CUST-957,Retail,Online,Supplier C,6,0.05,224,6,4.1,5258,3495,31548,1577,29971,20970,9001,0.3
ORD-1209,2025-02-10,Khulna,Desk,Furniture,Sadia,CUST-553,Wholesale,Facebook,Supplier C,5,0.16,91,10,3.6,21473,16018,107365,17178,90187,80090,10097,0.112
ORD-1494,2025-02-11,Rajshahi,Laptop,Electronics,Sadia,CUST-470,Wholesale,Facebook,Supplier C,25,0.04,62,13,4.0,90828,63109,2270700,90828,2179872,1577725,602147,0.276
ORD-1092,2025-02-12,Khulna,Tablet,Electronics,Sadia,CUST-277,Retail,Facebook,Supplier C,33,0.17,222,3,4.8,21862,14729,721446,122646,598800,486057,112743,0.188
ORD-1112,2025-02-15,Rajshahi,Monitor,Electronics,Karim,CUST-600,Retail,Dealer,Supplier C,20,0.18,278,14,2.9,31879,18150,637580,114764,522816,363000,159816,0.306
ORD-1239,2025-02-16,Dhaka,Monitor,Electronics,Tania,CUST-795,Retail,Email,Supplier B,2,0.16,127,9,2.7,20127,15515,40254,6441,33813,31030,2783,0.082
ORD-1309,2025-02-17,Sylhet,Office Chair,Furniture,Tania,CUST-620,Retail,Dealer,Supplier A,35,0.2,219,10,2.6,5781,3330,202335,40467,161868,116550,45318,0.28
ORD-1150,2025-02-17,Rajshahi,Desk,Furniture,Sadia,CUST-137,Retail,Email,Supplier B,22,0.02,143,13,4.0,29283,17835,644226,12885,631341,392370,238971,0.379
ORD-1465,2025-02-18,Khulna,Laptop,Electronics,Sadia,CUST-104,Corporate,Direct Sales,Supplier A,4,0.19,127,13,4.2,81691,45958,326764,62085,264679,183832,80847,0.305
ORD-1481,2025-02-19,Rajshahi,Desk,Furniture,Nila,CUST-157,Wholesale,Online,Supplier B,17,0.16,282,5,3.8,28750,17189,488750,78200,410550,292213,118337,0.288
ORD-1443,2025-02-19,Sylhet,Printer,Office Equipment,Sadia,CUST-292,Retail,Online,Supplier C,8,0.09,31,12,4.2,17643,10506,141144,12703,128441,84048,44393,0.346
ORD-1098,2025-02-19,Dhaka,Mobile,Electronics,Tania,CUST-604,Retail,Facebook,Supplier A,34,0.03,144,4,3.4,35001,24247,1190034,35701,1154333,824398,329935,0.286
ORD-1023,2025-02-19,Dhaka,Monitor,Electronics,Nila,CUST-149,Retail,Online,Supplier A,19,0.0,269,13,4.6,14113,9420,268147,0,268147,178980,89167,0.333
ORD-1498,2025-02-22,Sylhet,Printer,Office Equipment,Nila,CUST-431,Corporate,Facebook,Supplier D,17,0.16,31,2,4.4,36300,23333,617100,98736,518364,396661,121703,0.235
ORD-1384,2025-02-23,Khulna,Printer,Office Equipment,Rahim,CUST-501,Retail,Online,Supplier A,20,0.19,286,13,3.1,29918,18684,598360,113688,484672,373680,110992,0.229
ORD-1416,2025-02-24,Khulna,Tablet,Electronics,Karim,CUST-150,Retail,Email,Supplier D,31,0.19,299,3,4.8,59525,45112,1845275,350602,1494673,1398472,96201,0.064
ORD-1427,2025-02-25,Dhaka,Printer,Office Equipment,Karim,CUST-366,Retail,Direct Sales,Supplier D,18,0.02,133,3,4.4,25443,20266,457974,9159,448815,364788,84027,0.187
ORD-1355,2025-02-26,Khulna,Tablet,Electronics,Tania,CUST-427,Retail,Direct Sales,Supplier D,3,0.07,183,3,3.5,48153,34824,144459,10112,134347,104472,29875,0.222
ORD-1464,2025-02-28,Khulna,Desk,Furniture,Sadia,CUST-171,Retail,Online,Supplier D,36,0.0,251,2,3.9,17044,10060,613584,0,613584,362160,251424,0.41
ORD-1341,2025-03-01,Dhaka,Tablet,Electronics,Karim,CUST-837,Corporate,Online,Supplier D,4,0.14,200,8,3.5,34630,20393,138520,19393,119127,81572,37555,0.315
ORD-1339,2025-03-01,Rajshahi,Tablet,Electronics,Tania,CUST-925,Retail,Online,Supplier D,1,0.13,58,13,2.8,40693,22665,40693,5290,35403,22665,12738,0.36
ORD-1076,2025-03-02,Sylhet,Laptop,Electronics,Tania,CUST-202,Retail,Direct Sales,Supplier D,29,0.01,103,5,4.9,143911,96004,4173419,41734,4131685,2784116,1347569,0.326
ORD-1132,2025-03-02,Sylhet,Monitor,Electronics,Karim,CUST-176,Retail,Facebook,Supplier B,34,0.08,94,5,3.7,17097,10101,581298,46504,534794,343434,191360,0.358
ORD-1037,2025-03-03,Chittagong,Desk,Furniture,Nila,CUST-720,Retail,Dealer,Supplier C,28,0.11,194,12,3.8,20427,14997,571956,62915,509041,419916,89125,0.175
ORD-1277,2025-03-05,Dhaka,Mobile,Electronics,Sadia,CUST-522,Corporate,Dealer,Supplier A,17,0.13,242,2,5.0,67034,40403,1139578,148145,991433,686851,304582,0.307
ORD-1314,2025-03-05,Sylhet,Desk,Furniture,Nila,CUST-786,Corporate,Online,Supplier A,2,0.06,225,2,3.6,11180,7028,22360,1342,21018,14056,6962,0.331
ORD-1103,2025-03-05,Dhaka,Printer,Office Equipment,Nila,CUST-801,Wholesale,Email,Supplier B,28,0.03,185,7,2.9,21063,12721,589764,17693,572071,356188,215883,0.377
ORD-1235,2025-03-06,Rajshahi,Tablet,Electronics,Tania,CUST-414,Corporate,Email,Supplier C,24,0.06,30,6,3.6,32773,24069,786552,47193,739359,577656,161703,0.219
ORD-1429,2025-03-08,Chittagong,Desk,Furniture,Tania,CUST-346,Retail,Online,Supplier A,28,0.03,146,12,3.0,8091,6099,226548,6796,219752,170772,48980,0.223
ORD-1146,2025-03-08,Sylhet,Desk,Furniture,Tania,CUST-840,Retail,Facebook,Supplier C,10,0.04,127,5,3.1,13210,7751,132100,5284,126816,77510,49306,0.389
ORD-1336,2025-03-11,Chittagong,Desk,Furniture,Nila,CUST-114,Retail,Online,Supplier D,10,0.19,60,14,3.4,20651,13889,206510,39237,167273,138890,28383,0.17
ORD-1166,2025-03-11,Dhaka,Laptop,Electronics,Rahim,CUST-154,Corporate,Direct Sales,Supplier A,8,0.09,79,3,3.3,89918,53927,719344,64741,654603,431416,223187,0.341
ORD-1334,2025-03-12,Chittagong,Desk,Furniture,Sadia,CUST-424,Corporate,Email,Supplier B,38,0.1,286,4,2.8,24423,17163,928074,92807,835267,652194,183073,0.219
ORD-1315,2025-03-13,Sylhet,Laptop,Electronics,Tania,CUST-574,Corporate,Online,Supplier C,12,0.11,299,3,3.3,99896,78288,1198752,131863,1066889,939456,127433,0.119
ORD-1029,2025-03-13,Sylhet,Office Chair,Furniture,Karim,CUST-646,Corporate,Facebook,Supplier B,12,0.05,259,9,3.0,7580,5286,90960,4548,86412,63432,22980,0.266
ORD-1031,2025-03-13,Khulna,Monitor,Electronics,Tania,CUST-815,Wholesale,Dealer,Supplier B,6,0.14,291,11,3.5,20777,13933,124662,17453,107209,83598,23611,0.22
ORD-1089,2025-03-13,Chittagong,Laptop,Electronics,Karim,CUST-996,Retail,Email,Supplier A,37,0.14,277,5,2.7,116868,92661,4324116,605376,3718740,3428457,290283,0.078
ORD-1085,2025-03-13,Rajshahi,Desk,Furniture,Karim,CUST-375,Retail,Facebook,Supplier A,39,0.17,45,11,3.5,24668,16541,962052,163549,798503,645099,153404,0.192
ORD-1069,2025-03-14,Dhaka,Office Chair,Furniture,Nila,CUST-674,Retail,Facebook,Supplier A,10,0.18,286,5,3.9,14630,8269,146300,26334,119966,82690,37276,0.311
ORD-1342,2025-03-16,Dhaka,Tablet,Electronics,Rahim,CUST-600,Retail,Online,Supplier A,33,0.01,98,8,3.6,35645,25918,1176285,11763,1164522,855294,309228,0.266
ORD-1362,2025-03-17,Khulna,Monitor,Electronics,Rahim,CUST-663,Retail,Email,Supplier D,32,0.06,233,14,3.6,34472,19448,1103104,66186,1036918,622336,414582,0.4
ORD-1009,2025-03-18,Chittagong,Monitor,Electronics,Sadia,CUST-634,Retail,Dealer,Supplier C,37,0.18,61,1,4.2,38693,30137,1431641,257695,1173946,1115069,58877,0.05
ORD-1316,2025-03-19,Dhaka,Desk,Furniture,Sadia,CUST-623,Corporate,Dealer,Supplier A,13,0.12,213,3,2.9,17396,11702,226148,27138,199010,152126,46884,0.236
ORD-1380,2025-03-20,Chittagong,Desk,Furniture,Tania,CUST-529,Wholesale,Online,Supplier B,25,0.01,133,8,3.1,22311,15407,557775,5578,552197,385175,167022,0.302
ORD-1375,2025-03-21,Khulna,Mobile,Electronics,Sadia,CUST-602,Retail,Dealer,Supplier A,10,0.19,226,1,3.2,69734,44890,697340,132495,564845,448900,115945,0.205
ORD-1165,2025-03-22,Sylhet,Printer,Office Equipment,Karim,CUST-110,Wholesale,Direct Sales,Supplier C,29,0.09,100,4,4.0,38743,27201,1123547,101119,1022428,788829,233599,0.228
ORD-1032,2025-03-23,Dhaka,Tablet,Electronics,Sadia,CUST-839,Corporate,Direct Sales,Supplier C,14,0.09,45,13,4.4,45964,28128,643496,57915,585581,393792,191789,0.328
ORD-1361,2025-03-24,Khulna,Desk,Furniture,Nila,CUST-679,Corporate,Direct Sales,Supplier C,27,0.03,293,6,3.7,9925,6855,267975,8039,259936,185085,74851,0.288
ORD-1236,2025-03-24,Dhaka,Tablet,Electronics,Karim,CUST-273,Wholesale,Email,Supplier C,21,0.05,295,10,3.4,31904,18803,669984,33499,636485,394863,241622,0.38
ORD-1386,2025-03-25,Khulna,Printer,Office Equipment,Nila,CUST-243,Corporate,Facebook,Supplier B,32,0.07,278,8,4.1,17032,13544,545024,38152,506872,433408,73464,0.145
ORD-1143,2025-03-26,Khulna,Monitor,Electronics,Tania,CUST-510,Wholesale,Dealer,Supplier A,33,0.02,70,8,2.9,26896,21224,887568,17751,869817,700392,169425,0.195
ORD-1353,2025-03-29,Sylhet,Desk,Furniture,Sadia,CUST-271,Corporate,Online,Supplier B,31,0.15,45,12,4.2,27888,19210,864528,129679,734849,595510,139339,0.19
ORD-1366,2025-04-02,Chittagong,Monitor,Electronics,Sadia,CUST-885,Retail,Email,Supplier C,18,0.18,107,12,3.3,29714,17604,534852,96273,438579,316872,121707,0.278
ORD-1228,2025-04-04,Chittagong,Tablet,Electronics,Nila,CUST-561,Wholesale,Online,Supplier C,9,0.1,210,13,4.7,38708,26600,348372,34837,313535,239400,74135,0.236
ORD-1149,2025-04-04,Dhaka,Monitor,Electronics,Rahim,CUST-790,Corporate,Email,Supplier C,25,0.05,33,13,2.6,15059,9833,376475,18824,357651,245825,111826,0.313
ORD-1086,2025-04-04,Sylhet,Mobile,Electronics,Karim,CUST-591,Retail,Email,Supplier C,14,0.17,100,9,3.2,64087,40846,897218,152527,744691,571844,172847,0.232
ORD-1128,2025-04-05,Rajshahi,Mobile,Electronics,Karim,CUST-844,Wholesale,Facebook,Supplier A,4,0.2,209,2,2.9,74499,48938,297996,59599,238397,195752,42645,0.179
ORD-1280,2025-04-05,Khulna,Tablet,Electronics,Tania,CUST-558,Retail,Email,Supplier C,18,0.13,204,3,3.0,31864,24269,573552,74562,498990,436842,62148,0.125
ORD-1479,2025-04-11,Chittagong,Printer,Office Equipment,Nila,CUST-752,Retail,Email,Supplier A,13,0.02,48,5,2.7,15421,9277,200473,4009,196464,120601,75863,0.386
ORD-1395,2025-04-11,Dhaka,Desk,Furniture,Karim,CUST-222,Retail,Email,Supplier D,31,0.2,284,14,4.0,15130,9260,469030,93806,375224,287060,88164,0.235
ORD-1289,2025-04-12,Dhaka,Monitor,Electronics,Rahim,CUST-301,Retail,Direct Sales,Supplier C,18,0.1,280,11,4.5,33505,24108,603090,60309,542781,433944,108837,0.201
ORD-1135,2025-04-12,Sylhet,Mobile,Electronics,Sadia,CUST-488,Retail,Facebook,Supplier D,31,0.17,236,1,4.8,40936,30176,1269016,215733,1053283,935456,117827,0.112
ORD-1452,2025-04-13,Khulna,Monitor,Electronics,Sadia,CUST-753,Retail,Online,Supplier D,5,0.06,132,2,3.9,21349,13949,106745,6405,100340,69745,30595,0.305
ORD-1030,2025-04-16,Rajshahi,Mobile,Electronics,Karim,CUST-723,Retail,Facebook,Supplier D,25,0.08,132,14,4.2,47173,29156,1179325,94346,1084979,728900,356079,0.328
ORD-1351,2025-04-18,Khulna,Printer,Office Equipment,Tania,CUST-581,Retail,Direct Sales,Supplier D,11,0.06,169,11,3.5,25359,18739,278949,16737,262212,206129,56083,0.214
ORD-1307,2025-04-18,Dhaka,Office Chair,Furniture,Karim,CUST-890,Corporate,Online,Supplier D,33,0.08,45,6,4.3,9546,6994,315018,25201,289817,230802,59015,0.204
ORD-1473,2025-04-18,Rajshahi,Monitor,Electronics,Sadia,CUST-502,Retail,Email,Supplier B,31,0.16,137,1,4.2,17051,12163,528581,84573,444008,377053,66955,0.151
ORD-1437,2025-04-19,Sylhet,Desk,Furniture,Sadia,CUST-725,Retail,Direct Sales,Supplier A,27,0.05,114,2,3.9,24107,18328,650889,32544,618345,494856,123489,0.2
ORD-1274,2025-04-20,Dhaka,Desk,Furniture,Karim,CUST-348,Corporate,Online,Supplier C,33,0.04,144,13,3.1,25244,17939,833052,33322,799730,591987,207743,0.26
ORD-1224,2025-04-21,Sylhet,Mobile,Electronics,Sadia,CUST-872,Corporate,Facebook,Supplier C,29,0.14,90,3,4.7,17482,11864,506978,70977,436001,344056,91945,0.211
ORD-1077,2025-04-22,Sylhet,Printer,Office Equipment,Rahim,CUST-730,Retail,Online,Supplier A,14,0.17,89,1,3.5,34885,23771,488390,83026,405364,332794,72570,0.179
ORD-1065,2025-04-22,Sylhet,Office Chair,Furniture,Tania,CUST-828,Corporate,Direct Sales,Supplier A,36,0.2,188,12,4.7,11867,9100,427212,85442,341770,327600,14170,0.041
ORD-1337,2025-04-22,Chittagong,Laptop,Electronics,Nila,CUST-610,Wholesale,Direct Sales,Supplier C,19,0.18,156,4,2.7,117146,79515,2225774,400639,1825135,1510785,314350,0.172
ORD-1173,2025-04-24,Dhaka,Laptop,Electronics,Tania,CUST-735,Retail,Dealer,Supplier C,26,0.07,88,3,4.2,72370,41216,1881620,131713,1749907,1071616,678291,0.388
ORD-1068,2025-04-24,Sylhet,Desk,Furniture,Sadia,CUST-394,Retail,Dealer,Supplier C,27,0.14,259,4,2.7,28992,20497,782784,109590,673194,553419,119775,0.178
ORD-1296,2025-04-24,Dhaka,Printer,Office Equipment,Nila,CUST-719,Corporate,Email,Supplier D,35,0.15,27,2,3.5,18587,12726,650545,97582,552963,445410,107553,0.195
ORD-1028,2025-04-25,Dhaka,Laptop,Electronics,Karim,CUST-119,Corporate,Facebook,Supplier A,13,0.16,229,8,2.7,109814,77646,1427582,228413,1199169,1009398,189771,0.158
ORD-1064,2025-04-26,Khulna,Tablet,Electronics,Nila,CUST-376,Retail,Facebook,Supplier B,20,0.06,36,5,4.5,39927,28296,798540,47912,750628,565920,184708,0.246
